T_EI [°C],F_FR [L h^-1],T_CI [°C],S [g L^-1],J_e [L h^-1 m^-2],"T_CO,e [°C]"
60,400,25,140.3,0.1,56.8
60,1100,25,140.3,0.9,55.2
80,400,25,140.3,0.36,75.1
80,1100,25,140.3,1.9,73.4
70,750,20,35.1,1.76,65.7
70,750,20,245.5,0.34,63.5
70,750,30,35.1,1.46,66.7
70,750,30,245.5,0.11,64.4
60,750,25,35.1,1.19,56.9
60,750,25,245.5,0.04,55.0
80,750,25,35.1,1.99,75.4
80,750,25,245.5,0.42,73.1
70,400,20,140.3,0.38,65.7
70,400,30,140.3,0.11,66.4
70,1100,20,140.3,1.54,63.6
70,1100,30,140.3,1.19,64.8
60,750,20,140.3,0.59,55.5
60,750,30,140.3,0.3,56.4
80,750,20,140.3,1.28,73.8
80,750,30,140.3,0.96,74.7
70,400,25,35.1,0.83,67.0
70,400,25,245.5,0.1,65.3
70,1100,25,35.1,2.26,65.2
70,1100,25,245.5,0.68,63.0
70,750,25,140.3,0.77,65.2
70,750,25,140.3,0.81,65.2
70,750,25,140.3,0.79,65.1
60,400.0,20.0,35.1,0.7,57.2
60,400.0,25.0,35.1,0.62,57.8
60,400.0,30.0,35.1,0.5,58.0
60,800.0,20.0,35.1,1.38,55.3
60,800.0,25.0,35.1,1.27,56.8
60,800.0,30.0,35.1,1.12,57.2
60,1100.0,20.0,35.1,1.82,55.4
60,1100.0,25.0,35.1,1.67,55.3
60,1100.0,30.0,35.1,1.51,56.7
70,400.0,20.0,35.1,0.94,66.3
70,400.0,30.0,35.1,0.74,66.6
70,800.0,20.0,35.1,1.82,65.4
70,800.0,25.0,35.1,1.7,65.5
70,800.0,30.0,35.1,1.56,66.6
70,1100.0,20.0,35.1,2.36,63.4
70,1100.0,30.0,35.1,02.05,64.6
80,400.0,25.0,35.1,1.12,75.2
80,400.0,30.0,35.1,0.98,76.7
80,800.0,20.0,35.1,2.25,74.0
80,800.0,25.0,35.1,02.08,75.2
80,800.0,30.0,35.1,1.98,74.8
80,1100.0,20.0,35.1,2.96,73.5
80,1100.0,25.0,35.1,2.8,72.8
80,1100.0,30.0,35.1,2.71,75.1
60,400.0,25.0,70.1,0.46,57.4
60,600.0,20.0,70.1,0.92,56.6
60,750.0,20.0,70.1,1.16,56.1
60,750.0,30.0,70.1,0.85,57.1
60,800.0,20.0,70.1,1.24,55.8
60,800.0,30.0,70.1,0.95,56.9
60,1100.0,25.0,70.1,1.54,55.7
70,400.0,20.0,70.1,0.75,66.2
70,600.0,30.0,70.1,0.97,66.7
70,750.0,25.0,70.1,1.41,65.9
70,800.0,25.0,70.1,1.52,65.2
70,1100.0,20.0,70.1,2.16,64.1
70,1100.0,30.0,70.1,1.86,65.4
80,400.0,20.0,70.1,1.0,75.5
80,400.0,25.0,70.1,0.89,75.7
80,600.0,25.0,70.1,1.48,75.7
80,750.0,20.0,70.1,1.91,74.6
80,750.0,30.0,70.1,1.66,75.7
80,800.0,20.0,70.1,02.04,74.0
80,800.0,30.0,70.1,1.76,74.8
80,1100.0,25.0,70.1,2.64,73.8
60,400.0,25.0,105.2,0.28,57.0
60,750.0,20.0,105.2,0.95,55.8
60,750.0,30.0,105.2,0.61,56.7
60,800.0,30.0,105.2,0.76,56.6
60,1100.0,25.0,105.2,1.32,55.5
70,400.0,20.0,105.2,0.55,66.0
70,750.0,25.0,105.2,1.16,65.5
70,800.0,25.0,105.2,1.28,64.8
70,1100.0,20.0,105.2,02.01,64.0
70,1100.0,30.0,105.2,1.59,65.1
80,400.0,25.0,105.2,0.67,75.5
80,750.0,20.0,105.2,1.68,74.4
80,750.0,30.0,105.2,1.42,75.3
80,800.0,20.0,105.2,1.75,74.2
80,800.0,30.0,105.2,1.56,74.8
80,1100.0,25.0,105.2,2.39,73.7
60,600.0,25.0,140.3,0.29,56.2
60,900.0,30.0,140.3,0.46,56.1
60,1100.0,30.0,140.3,0.7,55.8
65,600.0,30.0,140.3,0.26,61.3
65,800.0,30.0,140.3,0.5,60.9
70,600.0,20.0,140.3,0.65,65.1
70,600.0,30.0,140.3,0.38,65.9
70,900.0,25.0,140.3,01.02,64.7
75,600.0,20.0,140.3,0.83,69.7
75,900.0,20.0,140.3,1.28,69.3
80,500.0,30.0,140.3,0.44,75.3
80,800.0,30.0,140.3,01.06,74.7
80,1100.0,20.0,140.3,02.06,72.8
60,750.0,20.0,175.3,0.5,55.1
60,750.0,30.0,175.3,0.18,56.0
60,1100.0,25.0,175.3,0.72,54.8
70,400.0,20.0,175.3,0.19,65.3
70,750.0,25.0,175.3,0.65,64.7
70,1100.0,20.0,175.3,1.39,63.2
70,1100.0,30.0,175.3,01.03,64.3
80,400.0,25.0,175.3,0.22,74.9
80,750.0,20.0,175.3,1.16,73.4
80,750.0,30.0,175.3,0.77,74.3
80,1100.0,25.0,175.3,1.74,72.9
60,750.0,20.0,210.4,0.32,54.7
60,1100.0,25.0,210.4,0.45,54.4
70,750.0,20.0,210.4,0.59,64.0
70,750.0,25.0,210.4,0.38,64.2
70,1100.0,20.0,210.4,01.09,63.0
70,1100.0,30.0,210.4,0.59,63.8
80,750.0,20.0,210.4,0.77,72.9
80,750.0,30.0,210.4,0.45,73.9
80,1100.0,25.0,210.4,1.36,72.5
60,1100.0,20.0,245.5,0.41,53.7
80,400.0,20.0,245.5,0.12,74.0
