Salinity (g/L),Numerical Permeate Flux (L/m²h),Experimental Permeate Flux (L/m²h),Uncertainty Experimental Flux (L/m²h)
10.0,1.476480080434035,1.5,0.1
10.0,1.7852655077052613,1.8,0.1
10.0,1.9338022368217493,1.9,0.1
10.0,2.05678113295177,2.1,0.1
10.0,0.8918457860709098,0.9,0.1
10.0,1.4306698375843472,1.4,0.1
10.0,1.7038605864223713,1.7,0.1
10.0,1.0612912721573622,1.0,0.1
10.0,1.1321647692186365,1.1,0.1
10.0,1.0756234446174187,1.1,0.1
10.0,0.7527590775653873,0.8,0.1
10.0,0.7930013910357778,0.8,0.2
10.0,1.1718387952503686,1.1,0.1
10.0,1.461361610565937,1.5,0.2
10.0,1.446915423494422,1.4,0.2
10.0,0.9660166768472598,0.9,0.1
10.0,1.4053466280246305,1.3,0.1
10.0,2.0128150781829612,1.9,0.2
10.0,1.384990402249492,1.4,0.5
10.0,1.132216608505421,1.1,0.1
10.0,1.6241235195229824,1.5,0.2
10.0,2.0162351468910225,1.9,0.1
10.0,1.4518559021633244,1.4,0.1
10.0,1.0174041457368792,1.0,0.1
35.0,0.812320702868927,0.8,0.2
35.0,0.9146257327929284,0.88,0.1
35.0,1.1857353844510106,1.1,0.1
35.0,1.32447411233607,1.2,0.1
35.0,1.2153100799264966,1.2,0.5
35.0,1.3393152107879593,1.2,0.1
35.0,1.780426068189699,1.7,0.2
35.0,1.9515232405752416,1.8,0.1
35.0,0.8988148555060688,0.8,0.2
35.0,1.755137166676586,1.6,0.1
35.0,0.8827308593444174,0.8,0.2
35.0,1.6991492710882563,1.6,0.4
35.0,1.2098967366786446,1.2,0.1
35.0,1.4136647628779626,1.2,0.1
35.0,1.3070184076656362,1.2,0.3
35.0,1.3088103898834558,1.2,0.1
35.0,1.3119598268160335,1.2,0.1
35.0,4.310884832651031,4.3,0.12
35.0,3.425812572955765,3.53,0.09
35.0,7.541041689164718,7.07,0.19
35.0,6.5525878533686575,6.25,0.16
35.0,2.1532914248343356,2.07,0.11
35.0,4.97897016650698,4.86,0.23
35.0,3.851109329908592,3.66,0.12
35.0,9.144076380493928,8.68,0.17
35.0,3.227547601253199,3.09,0.08
35.0,7.544341102298013,7.1,0.19
35.0,2.698082770252065,2.71,0.08
35.0,6.35315462136462,6.28,0.21
35.0,5.417965707629045,5.27,0.14
35.0,5.417965707629045,5.36,0.14
35.0,5.417965707629045,5.42,0.14
35.0,1.5425150737143993,1.45,0.05
35.0,1.2044661730104895,1.16,0.03
35.0,2.6273341315239316,2.41,0.07
35.0,2.2631627373981025,2.08,0.03
35.0,0.6855931020454773,0.7,0.01
35.0,1.8682624705146187,1.76,0.04
35.0,1.2255665154860005,1.2,0.02
35.0,3.3218606591105915,2.96,0.09
35.0,1.0378427319363115,1.01,0.02
35.0,2.7957232622707986,2.49,0.04
35.0,0.8512825935479241,0.83,0.01
35.0,2.3305936482972296,2.19,0.04
35.0,1.9008593428203509,1.76,0.03
35.0,1.9008593428203509,1.77,0.03
35.0,1.9008593428203509,1.79,0.03
35.0,1.4131955676509296,1.4,0.02
35.0,1.102033352716464,1.1,0.02
35.0,2.409912881356698,2.27,0.04
35.0,2.0749085636022713,1.97,0.03
35.0,0.6239317732002648,0.62,0.02
35.0,1.7148578867346402,1.65,0.03
35.0,1.1189886121929873,1.1,0.03
35.0,3.051846791231189,2.88,0.09
35.0,0.947110221046529,0.93,0.03
35.0,2.5679772416758566,2.36,0.04
35.0,0.7754486021337342,0.74,0.02
35.0,2.1396879505912056,2.03,0.03
35.0,1.7421073021083637,1.7,0.03
35.0,1.7421073021083637,1.7,0.03
35.0,1.7421073021083637,1.7,0.03
35.1,0.7033299042788503,0.7,
35.1,0.623699330366161,0.62,
35.1,0.5369402740889533,0.5,
35.1,1.4129716179384206,1.38,
35.1,1.264416498137566,1.27,
35.1,1.1017863198181235,1.12,
35.1,1.9109706002842035,1.82,
35.1,1.7146220225687716,1.67,
35.1,1.4992047571035059,1.51,
35.1,0.9468684677060615,0.94,
35.1,0.7751856389154863,0.74,
35.1,1.896601402807566,1.82,
35.1,1.7418617350704009,1.7,
35.1,1.5739119519673488,1.56,
35.1,2.5677500076682263,2.36,
35.1,2.139434243516714,2.05,
35.1,1.1187188263204062,1.12,
35.1,1.0269340680680519,0.98,
35.1,2.4096748467783864,2.25,
35.1,2.2483038335334316,2.08,
35.1,2.074644340729238,1.98,
35.1,3.2662984229314818,2.96,
35.1,3.051611941717005,2.8,
35.1,2.820253568101772,2.71,
70.1,0.5347013110912151,0.46,
70.1,0.9790927423830804,0.92,
70.1,1.2407603841542019,1.16,
70.1,0.938257171002971,0.85,
70.1,1.3263498249687706,1.24,
70.1,1.0063541555191324,0.95,
70.1,1.6229424686236482,1.54,
70.1,0.8535089443525234,0.75,
70.1,1.0798476433280981,0.97,
70.1,1.5389159986540029,1.41,
70.1,1.6455609853262119,1.52,
70.1,2.4775877956742414,2.16,
70.1,2.0392817021589087,1.86,
70.1,1.1033004186836044,1.0,
70.1,1.0136979562627941,0.89,
70.1,1.5895718313468001,1.48,
70.1,2.1670578642099723,1.91,
70.1,1.8415181072789681,1.66,
70.1,2.314440643879326,2.04,
70.1,1.9696315879218191,1.76,
70.1,2.9563338024290844,2.64,
