Salinity (g/L),Numerical Cold Feedwater Outlet Temperature (°C),Experimental Cold Feedwater Outlet Temperature (°C),Uncertainty Experimental Temperature (°C)
10.0,54.0616385996,56.0,0.5
10.0,58.3774011936,60.3,0.1
10.0,60.376531268,62.5,0.3
10.0,62.0268412888,64.3,0.1
10.0,61.2328827432,61.8,0.3
10.0,59.718287313,61.1,0.1
10.0,64.1337923531,65.7,0.2
10.0,65.8000747147,66.5,0.3
10.0,53.2880176506,54.7,0.2
10.0,53.9086129151,55.2,0.2
10.0,55.3785037479,56.1,0.3
10.0,54.9025956355,55.8,0.2
10.0,63.7018952044,63.6,0.2
10.0,54.175661103,55.4,0.2
10.0,64.5094877244,65.2,1.6
10.0,56.1647754554,57.0,0.6
10.0,65.2153358459,66.2,0.7
10.0,63.3950439686,65.1,0.1
10.0,54.7107796168,56.2,0.3
10.0,64.1847765384,64.7,0.1
10.0,62.3597509479,63.3,0.2
10.0,63.3114475988,64.9,0.1
10.0,64.5479749778,65.8,0.4
10.0,55.5691414566,56.9,0.3
35.0,55.5328819933,56.4,0.2
35.0,55.9818011133,56.7,0.4
35.0,54.1807323181,55.8,0.4
35.0,54.5442261653,55.9,0.4
35.0,64.3835252865,65.9,0.2
35.0,64.8127391463,66.0,0.2
35.0,62.7942623611,65.0,0.2
35.0,63.1670012162,65.1,0.4
35.0,52.0491781551,53.2,0.2
35.0,66.6178782992,68.2,0.3
35.0,60.6397640808,61.5,0.1
35.0,58.15416484,60.1,0.1
35.0,59.1398251944,60.8,0.2
35.0,59.4023197313,60.6,0.6
35.0,59.3313092558,61.0,0.1
35.0,59.3361947264,60.9,0.3
35.0,59.4180560716,60.8,0.4
35.0,48.0613444522,50.3,0.8
35.0,51.4928437549,52.5,0.4
35.0,63.9617490023,66.2,0.4
35.0,67.2367186358,69.4,0.9
35.0,53.185368803,53.5,0.6
35.0,47.8743878902,49.6,0.6
35.0,70.3241730781,71.6,0.4
35.0,62.8655927613,66.5,0.3
35.0,60.5305612011,61.0,0.4
35.0,53.2489791676,55.7,0.4
35.0,62.8244856354,63.2,0.3
35.0,57.1904682413,58.9,0.5
35.0,57.6510587422,58.5,0.4
35.0,57.6510587422,58.3,0.4
35.0,57.6510587422,58.6,0.4
35.0,55.0698516457,56.8,0.3
35.0,56.5072098465,57.9,0.3
35.0,73.2803163651,75.1,0.3
35.0,74.6985917579,76.3,0.4
35.0,57.2890415605,58.1,0.3
35.0,54.8318972235,56.6,0.3
35.0,75.9910352949,76.9,0.4
35.0,72.6810875435,74.8,0.4
35.0,66.1724960963,67.3,0.3
35.0,62.821873721,65.0,0.3
35.0,67.0918724468,67.8,0.4
35.0,64.5816382101,66.5,0.3
35.0,64.9008803317,66.6,0.3
35.0,64.9008803317,66.7,0.3
35.0,64.9008803317,66.7,0.3
35.0,54.8823915642,56.4,0.3
35.0,56.3675788002,57.7,0.3
35.0,72.9945303502,74.3,0.6
35.0,74.464871643,75.7,0.3
35.0,57.0837874305,57.8,0.3
35.0,54.7073975599,56.2,0.3
35.0,75.6854923074,75.9,0.3
35.0,72.4691781556,74.0,0.3
35.0,65.8822364158,67.0,0.5
35.0,62.6353225665,64.6,0.3
35.0,66.8669504948,67.3,0.3
35.0,64.4320249047,65.9,0.3
35.0,64.6884438142,66.2,0.3
35.0,64.6884438142,66.2,0.3
35.0,64.6884438142,66.3,0.3
35.1,56.5799139033,57.2,
35.1,57.0828776373,57.8,
35.1,57.5504021802,58.0,
35.1,54.8814827485,55.3,
35.1,55.6508473371,56.8,
35.1,56.3666748131,57.2,
35.1,53.7657488461,55.4,
35.1,54.7065022665,55.3,
35.1,55.5833000685,56.7,
35.1,65.8811743976,66.3,
35.1,66.8659060953,66.6,
35.1,63.9240615899,65.4,
35.1,64.6873870585,65.5,
35.1,65.4021693489,66.6,
35.1,62.634259285,63.4,
35.1,64.4309874282,64.6,
35.1,75.6842944601,75.2,
35.1,76.1700456808,76.7,
35.1,72.9932953214,74.0,
35.1,73.750245991,75.2,
35.1,74.4636787529,74.8,
35.1,71.5546536845,73.5,
35.1,72.4679702911,72.8,
35.1,73.3289799632,75.1,
70.1,56.7501044167,57.4,
70.1,55.3570517468,56.6,
70.1,54.7417267731,56.1,
70.1,56.1698654933,57.1,
70.1,54.5445463365,55.8,
70.1,56.0322071191,56.9,
70.1,54.3731303915,55.7,
70.1,65.494388252,66.2,
70.1,65.7179354059,66.7,
70.1,64.4950554588,65.9,
70.1,64.296543634,65.2,
70.1,62.2380269722,64.1,
70.1,64.0452418105,65.4,
70.1,74.728470084,75.5,
70.1,75.2488070192,75.7,
70.1,74.2330429711,75.7,
70.1,72.7916627139,74.6,
70.1,74.2226723971,75.7,
70.1,72.5373701128,74.0,
70.1,74.0229445662,74.8,
70.1,72.0188462615,73.8,
