caso,sequencia,Tf_in,Tc_in,Vazao,P_ai gap,Salinidade,area da membrana,canais,Fluxo experimental,incerteza fluxo,Tf_out,incerteza_tf_out,Tc_out,incerteza_tc_out
35.1 gL,1,60,20,400,81325,35.1,25.92,12,0.7,,,,57.2,
35.1 gL,2,60,25,400,81325,35.1,25.92,12,0.62,,,,57.8,
35.1 gL,3,60,30,400,81325,35.1,25.92,12,0.5,,,,58,
35.1 gL,4,60,20,800,81325,35.1,25.92,12,1.38,,,,55.3,
35.1 gL,5,60,25,800,81325,35.1,25.92,12,1.27,,,,56.8,
35.1 gL,6,60,30,800,81325,35.1,25.92,12,1.12,,,,57.2,
35.1 gL,7,60,20,1100,81325,35.1,25.92,12,1.82,,,,55.4,
35.1 gL,8,60,25,1100,81325,35.1,25.92,12,1.67,,,,55.3,
35.1 gL,9,60,30,1100,81325,35.1,25.92,12,1.51,,,,56.7,
35.1 gL,10,70,20,400,81325,35.1,25.92,12,0.94,,,,66.3,
35.1 gL,11,70,30,400,81325,35.1,25.92,12,0.74,,,,66.6,
35.1 gL,12,70,20,800,81325,35.1,25.92,12,1.82,,,,65.4,
35.1 gL,13,70,25,800,81325,35.1,25.92,12,1.7,,,,65.5,
35.1 gL,14,70,30,800,81325,35.1,25.92,12,1.56,,,,66.6,
35.1 gL,15,70,20,1100,81325,35.1,25.92,12,2.36,,,,63.4,
35.1 gL,16,70,30,1100,81325,35.1,25.92,12,02.05,,,,64.6,
35.1 gL,17,80,25,400,81325,35.1,25.92,12,1.12,,,,75.2,
35.1 gL,18,80,30,400,81325,35.1,25.92,12,0.98,,,,76.7,
35.1 gL,19,80,20,800,81325,35.1,25.92,12,2.25,,,,74,
35.1 gL,20,80,25,800,81325,35.1,25.92,12,02.08,,,,75.2,
35.1 gL,21,80,30,800,81325,35.1,25.92,12,1.98,,,,74.8,
35.1 gL,22,80,20,1100,81325,35.1,25.92,12,2.96,,,,73.5,
35.1 gL,23,80,25,1100,81325,35.1,25.92,12,2.8,,,,72.8,
35.1 gL,24,80,30,1100,81325,35.1,25.92,12,2.71,,,,75.1,
70.1 gL,1,60,25,400,81325,70.1,25.92,12,0.46,,,,57.4,
70.1 gL,2,60,20,600,81325,70.1,25.92,12,0.92,,,,56.6,
70.1 gL,3,60,20,750,81325,70.1,25.92,12,1.16,,,,56.1,
70.1 gL,4,60,30,750,81325,70.1,25.92,12,0.85,,,,57.1,
70.1 gL,5,60,20,800,81325,70.1,25.92,12,1.24,,,,55.8,
70.1 gL,6,60,30,800,81325,70.1,25.92,12,0.95,,,,56.9,
70.1 gL,7,60,25,1100,81325,70.1,25.92,12,1.54,,,,55.7,
70.1 gL,8,70,20,400,81325,70.1,25.92,12,0.75,,,,66.2,
70.1 gL,9,70,30,600,81325,70.1,25.92,12,0.97,,,,66.7,
70.1 gL,10,70,25,750,81325,70.1,25.92,12,1.41,,,,65.9,
70.1 gL,11,70,25,800,81325,70.1,25.92,12,1.52,,,,65.2,
70.1 gL,12,70,20,1100,81325,70.1,25.92,12,2.16,,,,64.1,
70.1 gL,13,70,30,1100,81325,70.1,25.92,12,1.86,,,,65.4,
70.1 gL,14,80,20,400,81325,70.1,25.92,12,1,,,,75.5,
70.1 gL,15,80,25,400,81325,70.1,25.92,12,0.89,,,,75.7,
70.1 gL,16,80,25,600,81325,70.1,25.92,12,1.48,,,,75.7,
70.1 gL,17,80,20,750,81325,70.1,25.92,12,1.91,,,,74.6,
70.1 gL,18,80,30,750,81325,70.1,25.92,12,1.66,,,,75.7,
70.1 gL,19,80,20,800,81325,70.1,25.92,12,02.04,,,,74,
70.1 gL,20,80,30,800,81325,70.1,25.92,12,1.76,,,,74.8,
70.1 gL,21,80,25,1100,81325,70.1,25.92,12,2.64,,,,73.8,
